Salvat;El maravilloso mundo del conocimiento;Esta enciclopedia infantil de Disney ofrece a su hijo como primera obra de consulta un gran apoyo educativo, haciendo del aprendizaje un juego divertido.;http://www.salvat.com/imagenes/productos/listado/1010.jpg;http://www.salvat.com/paginas/informacion_modelo_agrupado.asp?id_producto=3&id_modelo=1014;;;Cada entrega tiene un precio de 9,95Eur.;La coleccion se compone de 24 libros.;x
Salvat;Asterix 5a Edicion   ;Consigue con Salvat la coleccion completa de Goscinny e Uderzo en edicion limitada para coleccionistas. Una autentica obra maestra con los protagonistas mas entranyables de los comics mas divertidos de siempre.;http://www.salvat.com/imagenes/productos/listado/287.jpg;http://www.salvat.com/colecciones/asterix/;;;Cada entrega cuesta 6,95Eur.;La coleccion tiene un minimo de 38 entregas, cada una compuesta por un libro, a excepción de la entrega n1 y n2 que contienen 2 libros cada una.;x
Salvat;Betty Boop show collecction  ;Descubre a Betty Boop y sus personajes mas sexys en una coleccion de exclusivas figuras de resina pintadas a mano, fieles reproducciones de los disenyos originales. Cantante de cabaret, enfermera, agente de policía, asistenta, mecanica, surfera, futbolista…;http://www.salvat.com/imagenes/productos/listado/289.jpg;http://www.salvat.com/colecciones/bettyboop/;;;Cada entrega cuesta 8,99Eur., excepto la entrega n1 que tiene un precio excepcional de 1,99Eur. y la entrega 2 por 4,99Eur.;La coleccion tiene un minimo de 60 entregas, cada una esta compuesta por un fasciculo y una figura de Betty Boop.;x
Salvat;Esther y su Mundo (Nueva edicion)  ;Revive las aventuras de Esther con esta coleccion unica y disfruta de un viaje inolvidable a tu infancia de la mano de los personajes mas entranyables!;http://www.salvat.com/imagenes/productos/listado/291.jpg;http://www.salvat.com/colecciones/esther/;;;Cada entrega cuesta 5,99Eur., excepto la entrega n1 que tiene un precio excepcional de 0,5Eur. y la entrega n2 que tiene un precio especial de 1,99Eur.;La coleccion tiene un minimo de 51 entregas, cada una esta compuesta por un libro de 32 paginas.;x
Salvat;Hello kitty dulces postres  ;Descubre un mundo de dulzura con Hello Kitty, colecciona exclusivos utensilios para preparar, decorar y disfrutar infinidad de deliciosos postres. ;http://www.salvat.com/imagenes/productos/listado/288.jpg;http://www.salvat.com/colecciones/hello-kitty-postres/home.shtml;;;Cada entrega cuesta 10,99Eur., excepto la entrega n1 que tiene un precio excepcional de 2,99Eur.y la segunda entrega de 6,99Eur.;La coleccion tiene un minimo de 50 entregas, cada una esta compuesta por un fasciculo y uno o varios utensilios de cocina.;x
Salvat;Mortadelo y Filemon   ;Una coleccion excepcional que reune las mejores aventuras de los personajes mas geniales de la historia del comic espanyol desde 1969 hasta la actualidad.;http://www.salvat.com/imagenes/productos/listado/290.jpg;http://www.salvat.com/colecciones/mortadelo-y-filemon/home.shtml;;;Cada entrega cuesta 8,99Eur., excepto la entrega 1 que tiene un precio excepcional de 2,99Eur. y la entrega 2 que tiene un precio especial de 5,99Eur.;La coleccion tiene un minimo de 60 entregas, cada una esta compuesta por un libro de 144 paginas.;x
Salvat;Inolvidables Disney  ;Recupera, por primera vez, la coleccion Disney de tu infancia en una edicion exclusiva de coleccionista que reune las fantasticas historietas de la Coleccion Dumbo de tu ninyez. ;;http://www.salvat.com/colecciones/inolvidablesd/home.shtml;;;Cada entrega cuesta 7,99Eur., excepto la entrega 1 que tiene un precio excepcional de 2,99Eur. y la 2 que tiene una oferta especial de 2 libros al precio de uno (7,99Eur.).;La coleccion tiene un minimo de 70 entregas, cada una esta compuesta por un libro. ;x
Salvat;Mis primeros pasos en el mundo;"Una coleccion especialmente creada para responder a nuevas preguntas y dudas que se presentan a su hijo sobre el mundo que le rodea.
";http://www.salvat.com/imagenes/productos/listado/1008.jpg;http://www.salvat.com/paginas/faqs_modelo_agrupado.asp?id_producto=3&id_modelo=1015&id_herramienta=5;;;Cada entrega cuesta 9,95Eur, excepto la primera que tiene un coste excepcional de  2,95Eur.;La coleccion se compone de 27 libros, uno por cada letra del alfabeto. ;x
Salvat;Mis Primeros Pasos en la Lectura   ;"Esta coleccion hace que la lectura sea un juego divertido que encantara a los ninyos. Cada libro introducira a su hijo en la historia de un heroe de su edad y descubrira palabras sencillas y faciles de aprender. Los nombres de los heroes empiezan por cada una de las letras del alfabeto.
Esta colección hace que la lectura sea un juego divertido que encantará a los niños.
";http://www.salvat.com/imagenes/productos/listado/1009.jpg;http://www.salvat.com/paginas/informacion_modelo_agrupado.asp?id_producto=2&id_modelo=1012&id_herramienta=1;;;Cada entrega cuesta 9,95Eur, excepto la primera que tiene un coste excepcional de  2,95Eur.;La coleccion se compone de 25 libros, uno por cada letra del alfabeto.;x
Salvat;Piratas del Caribe ;Construye con tus propias manos la heroica y maravillosa Perla Negra, el mitico barco pirata capitaneada por Jack Sparrow.;;http://www.salvat.com/colecciones/piratas-del-caribe/home.shtml;;;Cada entrega cuesta 6,99Eur., excepto la entrega 1 que tiene un precio excepcional de 0,99Eur. y la 2 que tiene un precio de 3.99Eur. ;La coleccion tiene un minimo de 100 entregas, cada una esta compuesta por un fasciculo y las piezas de montaje. ;x
