record,name,regalo,sale,url,precio,img,mes
1,"10 minutos mayo","Gafas de sol de estrella (Sunplanet)",x,http://www.diezminutos.es,4.95,,mayo
2,"AR mayo",Neceser,x,http://www.ar-revista.com/,3.5,,mayo
3,"Animales mayo","Baraja de cartas",x,,2.95,,
4,"Clan mayo","El pequeño reino de Ben y Holly + Dinofroz + Pistola Burbujas",x,,4.95,,
5,"Boing mayo","Reloj Lanza Discos ",x,,4.95,,
6,"Cosmopolitan mayo","Pinta uñas",x,,3.5,,
7,"Clara mayo"," Dieta Dunkan",x,,3.95,,
8,"Dibus mayo","Superposter Skyanders + Manga Profesor Layton",x,,4.95,,
9,"Crecer abril","Extra Los niños de Micasa",x,,2.95,,
10,"Cosmopolitan enero","Bolso Midi en 5 colores ",x,http://www.cosmohispano.com/index.php,3.5,,http://mjnd.blogspot.com/2009/07/regalos-revistas-agosto-2009.html
11,"Casa Díez mayo","Decoración + Cocina",x,,1.95,,
12,"Clara mini abril","El reloj de esta primavera",x,,2,,
13,"Cuerpo y mente febrero","Libro: Pequeñas grandes cosas. Tus placebos personales",x,,4.95,,http://www.cuerpomente.es/
14,"Elle mayo","Especial Body + Elle Decor + AR pocket + Gel Rituals + Tarjetas Moda y Belleza +  Smint",x,http://www.elle.es/,3.5,,http://www.elle.es/
16,"El mueble mini abril"," libro: Relajarse sin esfuerzo",x,,2
17,"Cosas de Casa mayo",Cocina,x,,2
18,"Glamour mini (II) abril"," Glamour goes Shopping",x,http://www.revistaglamour.com,1.8
19,"Glamour mini abril"," Maquillaje fluido",x,http://www.revistaglamour.com,3
20,"Glamour febrero","Glamour goes Shopping",x,,3.5
21,"Mente sana mayo"," Libro 12 Pasos hacia la felicidad",x,,4.95
22,"Lecturas octubre","Pañuelos victorio y Luccino",x,http://www.rbaedipresse.es/revista.php?id=13,4.95
23,"Inn Style enero","Bolso + Accesorio ",x,http://www.rbaedipresse.es/instyle.php?p=home,4.5
24,"Inn Style mini mayo",Reloj,x,http://www.rbaedipresse.es/instyle.php?p=home,2.5
25,"L-INK mayo","Laca de uñas",x,,1.8
26,"Marie Claire mayo",Bolso,x,http://www.marie-claire.es/,3.5
27,"Mente sana marzo","Aprende a Escuchar tu cuerpo",x,http://www.mibebeyyo.com,4.95
28,"Muy interesante","Revista GEO",x,http://www.muyinteresante.es/,3.4
30,"Mi casa abril","Casa practica  Plantas y flores en casa",x,,2
32,"Dora Exploradora mayo"," Cámara de fotos",x,,3.95
33,"Spiderman mayo",Gadget,x,,3.95
34,"Saber vivir abril","Libro: Trucos de cocina de Sergio Fernández",x,,3.95
35,"National Geographic mayo","125 años",x,,6.95
36,"Secretos de cocina abril"," Libro: Pirata de los Dientecitos",x,,6.5
37,"Panini Kids mayo","Móvil Disparador",x,,3.95
38,"Ser Padres abril","Set de Viaje Hello Kitty",x,,4.5
39,"Saber vivir mayo","El Mueble",x,,2.95
40,"Mi bebe y yo mayo"," neceser de verano",x,,4.95
41,"Historia National Geographic mayo"," DVD La Obra Perdida de Leonardo",x,,6.95
42,"Telva mayo"," Telva Cocina + Telva niños ",x,http://www.telva.com/,3.95
43,"Quo abril","Revista Viajar",x,,2.95
44,"Woman mini abril","Laca de uñas",x,http://www.woman.es/,2.5
45,"Woman mayo","Woman Shopping ",x,,3.5
